ADC;;IndirectX;ZeroPage;Immediate;;Absolute;;IndirectY;ZeroPageX;AbsoluteY;AbsoluteX;;;
AND;;IndirectX;ZeroPage;Immediate;;Absolute;;IndirectY;ZeroPageX;AbsoluteY;AbsoluteX;;;
ASL;;;ZeroPage;;Accumulator;Absolute;;;ZeroPageX;;AbsoluteX;;;
BCC;;;;;;;Relative;;;;;;;
BCS;;;;;;;Relative;;;;;;;
BEQ;;;;;;;Relative;;;;;;;
BIT;;;ZeroPage;;;Absolute;;;;;;;;
BMI;;;;;;;Relative;;;;;;;
BNE;;;;;;;Relative;;;;;;;
BPL;;;;;;;Relative;;;;;;;
BRK;Implied;;;;;;;;;;;;;
BVC;;;;;;;Relative;;;;;;;
BVS;;;;;;;Relative;;;;;;;
CLC;Implied;;;;;;;;;;;;;
CLD;Implied;;;;;;;;;;;;;
CLI;Implied;;;;;;;;;;;;;
CLV;Implied;;;;;;;;;;;;;
CMP;;IndirectX;ZeroPage;Immediate;;Absolute;;IndirectY;ZeroPageX;AbsoluteY;AbsoluteX;;;
CPX;;;ZeroPage;Immediate;;Absolute;;;;;;;;
CPY;;;ZeroPage;Immediate;;Absolute;;;;;;;;
DEC;;;ZeroPage;;;Absolute;;;ZeroPageX;;AbsoluteX;;;
DEX;Implied;;;;;;;;;;;;;
DEY;Implied;;;;;;;;;;;;;
EOR;;IndirectX;ZeroPage;Immediate;;Absolute;;IndirectY;ZeroPageX;AbsoluteY;AbsoluteX;;;
INC;;;ZeroPage;;;Absolute;;;ZeroPageX;;AbsoluteX;;;
INX;Implied;;;;;;;;;;;;;
INY;Implied;;;;;;;;;;;;;
JMP;;;;;;Absolute;;;;;;Indirect;;
JSR;;;;;;Absolute;;;;;;;;
LDA;;IndirectX;ZeroPage;Immediate;;Absolute;;IndirectY;ZeroPageX;AbsoluteY;AbsoluteX;;;
LDX;;;ZeroPage;Immediate;;Absolute;;;;AbsoluteY;;;ZeroPageY;
LDY;;;ZeroPage;Immediate;;Absolute;;;ZeroPageX;;AbsoluteX;;;
LSR;;;ZeroPage;;Accumulator;Absolute;;;ZeroPageX;;AbsoluteX;;;
NOP;Implied;;;;;;;;;;;;;
ORA;;IndirectX;ZeroPage;Immediate;;Absolute;;IndirectY;ZeroPageX;AbsoluteY;AbsoluteX;;;
PHA;Implied;;;;;;;;;;;;;
PHP;Implied;;;;;;;;;;;;;
PLA;Implied;;;;;;;;;;;;;
PLP;Implied;;;;;;;;;;;;;
ROL;;;ZeroPage;;Accumulator;Absolute;;;ZeroPageX;;AbsoluteX;;;
ROR;;;ZeroPage;;Accumulator;Absolute;;;ZeroPageX;;AbsoluteX;;;
RTI;Implied;;;;;;;;;;;;;
RTS;Implied;;;;;;;;;;;;;
SBC;;IndirectX;ZeroPage;Immediate;;Absolute;;IndirectY;ZeroPageX;AbsoluteY;AbsoluteX;;;
SEC;Implied;;;;;;;;;;;;;
SED;Implied;;;;;;;;;;;;;
SEI;Implied;;;;;;;;;;;;;
STA;;IndirectX;ZeroPage;;;Absolute;;IndirectY;ZeroPageX;AbsoluteY;AbsoluteX;;;
STX;;;ZeroPage;;;Absolute;;;;;;;ZeroPageY;
STY;;;ZeroPage;;;Absolute;;;ZeroPageX;;;;;
TAX;Implied;;;;;;;;;;;;;
TAY;Implied;;;;;;;;;;;;;
TSX;Implied;;;;;;;;;;;;;
TXA;Implied;;;;;;;;;;;;;
TXS;Implied;;;;;;;;;;;;;
TYA;Implied;;;;;;;;;;;;;
